image_id,question,question_id,cleaned_question,image_exists,formatted_image_id,answers,tokens,neutral_question,neutral_tokens
393227,Is the man's visor providing his face enough protection?,393227004,is the mans visor providing his face enough protection,True,COCO_train2014_000000393227.jpg,"no, no, no, no, no, no, no, no, no, no","['is', 'the', 'mans', 'visor', 'providing', 'his', 'face', 'enough', 'protection']",is the mans visor providing person face enough protection,"['is', 'the', 'mans', 'visor', 'providing', 'person', 'face', 'enough', 'protection']"
131084,What color is the jacket?,131084000,what color is the jacket,True,COCO_train2014_000000131084.jpg,"green, green and black, green and black, green, green and black, green, green, green, green, green","['what', 'color', 'is', 'the', 'jacket']",what color is the jacket,"['what', 'color', 'is', 'the', 'jacket']"
131084,Is the man riding on a dirt path?,131084001,is the man riding on a dirt path,True,COCO_train2014_000000131084.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'the', 'man', 'riding', 'on', 'a', 'dirt', 'path']",is the person riding on a dirt path,"['is', 'the', 'person', 'riding', 'on', 'a', 'dirt', 'path']"
131084,What is the man riding on?,131084002,what is the man riding on,True,COCO_train2014_000000131084.jpg,"motorbike, motorcycle, dirt bike, motorbike, motorcycle, dirt bike, motorcycle, motocross bike, motorcycle, dirt bike","['what', 'is', 'the', 'man', 'riding', 'on']",what is the person riding on,"['what', 'is', 'the', 'person', 'riding', 'on']"
131074,What is on the pillow?,131074000,what is on the pillow,True,COCO_train2014_000000131074.jpg,"pillow sham, frills, pillow case, pillowcases, nothing, gray, note, cover, paper, sign","['what', 'is', 'on', 'the', 'pillow']",what is on the pillow,"['what', 'is', 'on', 'the', 'pillow']"
131074,How many pieces of furniture which are used for sleeping are featured in this picture?,131074001,how many pieces of furniture which are used for sleeping are featured in this picture,True,COCO_train2014_000000131074.jpg,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2","['how', 'many', 'pieces', 'of', 'furniture', 'which', 'are', 'used', 'for', 'sleeping', 'are', 'featured', 'in', 'this', 'picture']",how many pieces of furniture which are used for sleeping are featured in this picture,"['how', 'many', 'pieces', 'of', 'furniture', 'which', 'are', 'used', 'for', 'sleeping', 'are', 'featured', 'in', 'this', 'picture']"
131074,Are the walls done in a summery color?,131074002,are the walls done in a summery color,True,COCO_train2014_000000131074.jpg,"no, yes, yes, yes, no, no, yes, yes, yes, yes","['are', 'the', 'walls', 'done', 'in', 'a', 'summery', 'color']",are the walls done in a summery color,"['are', 'the', 'walls', 'done', 'in', 'a', 'summery', 'color']"
131074,Is the curtain patterned?,131074003,is the curtain patterned,True,COCO_train2014_000000131074.jpg,"no, no, no, yes, no, no, no, yes, yes, no","['is', 'the', 'curtain', 'patterned']",is the curtain patterned,"['is', 'the', 'curtain', 'patterned']"
131074,What is sitting on the bench?,131074004,what is sitting on the bench,True,COCO_train2014_000000131074.jpg,"purse, purse, purse, handbag, purse, purse, purse, purse, purse, purse","['what', 'is', 'sitting', 'on', 'the', 'bench']",what is sitting on the bench,"['what', 'is', 'sitting', 'on', 'the', 'bench']"
131074,Are the windows the same size?,131074005,are the windows the same size,True,COCO_train2014_000000131074.jpg,"yes, no, yes, yes, yes, no windows, yes, no, yes, yes","['are', 'the', 'windows', 'the', 'same', 'size']",are the windows the same size,"['are', 'the', 'windows', 'the', 'same', 'size']"
393230,What is this person doing?,393230000,what is this person doing,True,COCO_train2014_000000393230.jpg,"skiing, skiing, skiing, skiing, snow ski, skiing, skiing, skiing, skiing, skiing","['what', 'is', 'this', 'person', 'doing']",what is this person doing,"['what', 'is', 'this', 'person', 'doing']"
393230,How many people are in this image?,393230001,how many people are in this image,True,COCO_train2014_000000393230.jpg,"1, 1, 1, 1, 1, 1, 1, there is 1 person in this image, 1, 1","['how', 'many', 'people', 'are', 'in', 'this', 'image']",how many people are in this image,"['how', 'many', 'people', 'are', 'in', 'this', 'image']"
393230,Is there a shadow of a tree in the foreground?,393230002,is there a shadow of a tree in the foreground,True,COCO_train2014_000000393230.jpg,"no, no, no, no, no, no, no, no, no, no","['is', 'there', 'a', 'shadow', 'of', 'a', 'tree', 'in', 'the', 'foreground']",is there a shadow of a tree in the foreground,"['is', 'there', 'a', 'shadow', 'of', 'a', 'tree', 'in', 'the', 'foreground']"
393230,What is the man doing?,393230003,what is the man doing,True,COCO_train2014_000000393230.jpg,"skiing, skiing, skiing, skiing, skiing, skiing, skiing, skiing, skiing, skiing","['what', 'is', 'the', 'man', 'doing']",what is the person doing,"['what', 'is', 'the', 'person', 'doing']"
393230,What color is the sky?,393230004,what color is the sky,True,COCO_train2014_000000393230.jpg,"blue and white, gray, gray, gray, gray, gray, gray, gray, gray, gray","['what', 'color', 'is', 'the', 'sky']",what color is the sky,"['what', 'color', 'is', 'the', 'sky']"
393230,What is the person wearing?,393230005,what is the person wearing,True,COCO_train2014_000000393230.jpg,"ski clothes, clothes, ski clothes, skis, clothes, snowsuit, ski pants and jacket, helmet, blue jacket and black pants, skis","['what', 'is', 'the', 'person', 'wearing']",what is the person wearing,"['what', 'is', 'the', 'person', 'wearing']"
393230,Did someone forget his luggage in the snow?,393230006,did someone forget his luggage in the snow,True,COCO_train2014_000000393230.jpg,"no, no, no, no, no, no, no, no, no, no","['did', 'someone', 'forget', 'his', 'luggage', 'in', 'the', 'snow']",did someone forget person luggage in the snow,"['did', 'someone', 'forget', 'person', 'luggage', 'in', 'the', 'snow']"
393230,What color is his coat?,393230007,what color is his coat,True,COCO_train2014_000000393230.jpg,"blue, blue, blue, blue, blue, blue, blue, blue, blue, blue and white","['what', 'color', 'is', 'his', 'coat']",what color is person coat,"['what', 'color', 'is', 'person', 'coat']"
393230,Is it daytime?,393230008,is it daytime,True,COCO_train2014_000000393230.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'it', 'daytime']",is it daytime,"['is', 'it', 'daytime']"
393230,What is she holding?,393230009,what is she holding,True,COCO_train2014_000000393230.jpg,"poles, ski poles, poles, skis, ski poles, ski pole, pole, poles, poles, poles","['what', 'is', 'she', 'holding']",what is person holding,"['what', 'is', 'person', 'holding']"
393230,Is the person wearing a hat?,393230010,is the person wearing a hat,True,COCO_train2014_000000393230.jpg,"no, yes, no, yes, no, yes, no, no, no, yes","['is', 'the', 'person', 'wearing', 'a', 'hat']",is the person wearing a hat,"['is', 'the', 'person', 'wearing', 'a', 'hat']"
131087,What is the dog riding on?,131087000,what is the dog riding on,True,COCO_train2014_000000131087.jpg,"surfboard, surfboard, surfboard, surfboard, surfboard, surfboard, surfboard, surfboard, surfboard, surfing","['what', 'is', 'the', 'dog', 'riding', 'on']",what is the dog riding on,"['what', 'is', 'the', 'dog', 'riding', 'on']"
131087,Is the dog wearing a collar?,131087001,is the dog wearing a collar,True,COCO_train2014_000000131087.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'the', 'dog', 'wearing', 'a', 'collar']",is the dog wearing a collar,"['is', 'the', 'dog', 'wearing', 'a', 'collar']"
131087,Is it a clear day?,131087002,is it a clear day,True,COCO_train2014_000000131087.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'it', 'a', 'clear', 'day']",is it a clear day,"['is', 'it', 'a', 'clear', 'day']"
131087,Is there a body of water here?,131087003,is there a body of water here,True,COCO_train2014_000000131087.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'there', 'a', 'body', 'of', 'water', 'here']",is there a body of water here,"['is', 'there', 'a', 'body', 'of', 'water', 'here']"
131087,What is in the water?,131087004,what is in the water,True,COCO_train2014_000000131087.jpg,"dog on surfboard, dog on surfboard, dog and surfboard, dog on surfboard, surfboard, surfboard, surfboard and dog, dog, dog, dog","['what', 'is', 'in', 'the', 'water']",what is in the water,"['what', 'is', 'in', 'the', 'water']"
131075,"What does the green light, on the TV, indicate?",131075000,what does the green light on the tv indicate,True,COCO_train2014_000000131075.jpg,"it's turned on, background, on, background, powered on, it is on, it's color of screen, off, on, power","['what', 'does', 'the', 'green', 'light', 'on', 'the', 'tv', 'indicate']",what does the green light on the tv indicate,"['what', 'does', 'the', 'green', 'light', 'on', 'the', 'tv', 'indicate']"
131075,Is the light on?,131075001,is the light on,True,COCO_train2014_000000131075.jpg,"no, no, no, no, no, yes, no, no, no, no","['is', 'the', 'light', 'on']",is the light on,"['is', 'the', 'light', 'on']"
131075,What room of the house is this?,131075002,what room of the house is this,True,COCO_train2014_000000131075.jpg,"office, bedroom, office, conference room, office, living room, living room, big, family room, office","['what', 'room', 'of', 'the', 'house', 'is', 'this']",what room of the house is this,"['what', 'room', 'of', 'the', 'house', 'is', 'this']"
131075,What is the size of the TV?,131075003,what is the size of the tv,True,COCO_train2014_000000131075.jpg,"50 inch, 40 inch, 20 feet, large, 36, 100 inches, 75 inch, it's projector, large, 60 inches","['what', 'is', 'the', 'size', 'of', 'the', 'tv']",what is the size of the tv,"['what', 'is', 'the', 'size', 'of', 'the', 'tv']"
131075,Is the room messy?,131075004,is the room messy,True,COCO_train2014_000000131075.jpg,"no, no, no, no, no, no, no, no, no, no","['is', 'the', 'room', 'messy']",is the room messy,"['is', 'the', 'room', 'messy']"
131075,Is this a TV screen?,131075005,is this a tv screen,True,COCO_train2014_000000131075.jpg,"yes, yes, no, no, no, yes, yes, yes, no, yes","['is', 'this', 'a', 'tv', 'screen']",is this a tv screen,"['is', 'this', 'a', 'tv', 'screen']"
131075,How big is the TV?,131075006,how big is the tv,True,COCO_train2014_000000131075.jpg,"big, very, very big, very big, very big, 46 inches, gigantic, very big, 20 in, large","['how', 'big', 'is', 'the', 'tv']",how big is the tv,"['how', 'big', 'is', 'the', 'tv']"
131075,What companion object to the TV can be seen in the bottom right of the picture?,131075007,what companion object to the tv can be seen in the bottom right of the picture,True,COCO_train2014_000000131075.jpg,"laptop, computer, laptop, laptop, laptop, laptop, laptop, remote, remote, computer","['what', 'companion', 'object', 'to', 'the', 'tv', 'can', 'be', 'seen', 'in', 'the', 'bottom', 'right', 'of', 'the', 'picture']",what companion object to the tv can be seen in the bottom right of the picture,"['what', 'companion', 'object', 'to', 'the', 'tv', 'can', 'be', 'seen', 'in', 'the', 'bottom', 'right', 'of', 'the', 'picture']"
131075,What is the small computer on the left called?,131075008,what is the small computer on the left called,True,COCO_train2014_000000131075.jpg,"laptop, laptop, laptop, laptop, laptop, laptop, laptop, laptop, laptop, projector","['what', 'is', 'the', 'small', 'computer', 'on', 'the', 'left', 'called']",what is the small computer on the left called,"['what', 'is', 'the', 'small', 'computer', 'on', 'the', 'left', 'called']"
131075,What is above the TV?,131075009,what is above the tv,True,COCO_train2014_000000131075.jpg,"vent, vent, vent, ceiling, air duct, tiles, ceiling, ceiling, vent, ceiling","['what', 'is', 'above', 'the', 'tv']",what is above the tv,"['what', 'is', 'above', 'the', 'tv']"
131075,What is on the display?,131075010,what is on the display,True,COCO_train2014_000000131075.jpg,"document, outlook, word document, word document, document, overhead presentation, website, web page, na, laptop screen","['what', 'is', 'on', 'the', 'display']",what is on the display,"['what', 'is', 'on', 'the', 'display']"
131075,Is there a laptop in the image?,131075011,is there a laptop in the image,True,COCO_train2014_000000131075.jpg,"yes, yes, yes, yes, yes, yes, yes, no, yes, no","['is', 'there', 'a', 'laptop', 'in', 'the', 'image']",is there a laptop in the image,"['is', 'there', 'a', 'laptop', 'in', 'the', 'image']"
131075,Is it a monitor or a screen projection?,131075012,is it a monitor or a screen projection,True,COCO_train2014_000000131075.jpg,"yes, screen projection, screen projection, monitor, screen projection, screen projection, monitor, screen projection, screen projection, screen projector","['is', 'it', 'a', 'monitor', 'or', 'a', 'screen', 'projection']",is it a monitor or a screen projection,"['is', 'it', 'a', 'monitor', 'or', 'a', 'screen', 'projection']"
131075,What is on the TV screen?,131075013,what is on the tv screen,True,COCO_train2014_000000131075.jpg,"ms word, outlook, document, document, mirrored computer, computer, outlook web app, computer, desktop screen, desktop","['what', 'is', 'on', 'the', 'tv', 'screen']",what is on the tv screen,"['what', 'is', 'on', 'the', 'tv', 'screen']"
131075,What is the title of the presentation in the picture?,131075014,what is the title of the presentation in the picture,True,COCO_train2014_000000131075.jpg,"outlook web app, outlook web app, outlook web app, flight markup, outlook, design, can't see, business, extend with app, can't tell","['what', 'is', 'the', 'title', 'of', 'the', 'presentation', 'in', 'the', 'picture']",what is the title of the presentation in the picture,"['what', 'is', 'the', 'title', 'of', 'the', 'presentation', 'in', 'the', 'picture']"
137045,What color is the bear?,137045000,what color is the bear,True,COCO_train2014_000000137045.jpg,"black, black, black, black, black, black, black, black, black, black","['what', 'color', 'is', 'the', 'bear']",what color is the bear,"['what', 'color', 'is', 'the', 'bear']"
137045,Is the animal a mammal?,137045001,is the animal a mammal,True,COCO_train2014_000000137045.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'the', 'animal', 'a', 'mammal']",is the animal a mammal,"['is', 'the', 'animal', 'a', 'mammal']"
137045,What is this?,137045002,what is this,True,COCO_train2014_000000137045.jpg,"bear, bear, bear, bear, bear, bear, bear, bear, bear, bear","['what', 'is', 'this']",what is this,"['what', 'is', 'this']"
131093,Are there rocks in the picture?,131093000,are there rocks in the picture,True,COCO_train2014_000000131093.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['are', 'there', 'rocks', 'in', 'the', 'picture']",are there rocks in the picture,"['are', 'there', 'rocks', 'in', 'the', 'picture']"
131093,Has the sheep recently been shaved?,131093001,has the sheep recently been shaved,True,COCO_train2014_000000131093.jpg,"no, 0, no, no, no, no, no, no, no, no","['has', 'the', 'sheep', 'recently', 'been', 'shaved']",has the sheep recently been shaved,"['has', 'the', 'sheep', 'recently', 'been', 'shaved']"
131093,How many sheeps are this?,131093002,how many sheeps are this,True,COCO_train2014_000000131093.jpg,"3, 3, 3, 3, 3, 0, 3, 3, 3, 3","['how', 'many', 'sheeps', 'are', 'this']",how many sheeps are this,"['how', 'many', 'sheeps', 'are', 'this']"
131093,Are there three sheep?,131093003,are there three sheep,True,COCO_train2014_000000131093.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['are', 'there', 'three', 'sheep']",are there three sheep,"['are', 'there', 'three', 'sheep']"
524311,What is the man playing?,524311000,what is the man playing,True,COCO_train2014_000000524311.jpg,"wii, wii, wii, x box, wii, wii, wii, wii, game, wii","['what', 'is', 'the', 'man', 'playing']",what is the person playing,"['what', 'is', 'the', 'person', 'playing']"
524311,Is the man having a good time?,524311001,is the man having a good time,True,COCO_train2014_000000524311.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['is', 'the', 'man', 'having', 'a', 'good', 'time']",is the person having a good time,"['is', 'the', 'person', 'having', 'a', 'good', 'time']"
524311,What does the man have on his face?,524311002,what does the man have on his face,True,COCO_train2014_000000524311.jpg,"glasses, glasses, glasses, glasses, smile, sweat, glasses, eyeglasses, glasses, glasses","['what', 'does', 'the', 'man', 'have', 'on', 'his', 'face']",what does the person have on person face,"['what', 'does', 'the', 'person', 'have', 'on', 'person', 'face']"
25,What is in front of the giraffes?,25000,what is in front of the giraffes,True,COCO_train2014_000000000025.jpg,"tree, tree, tree, tree, tree, tree, tree, tree, trees, trees","['what', 'is', 'in', 'front', 'of', 'the', 'giraffes']",what is in front of the giraffes,"['what', 'is', 'in', 'front', 'of', 'the', 'giraffes']"
25,What do these giraffes have in common?,25001,what do these giraffes have in common,True,COCO_train2014_000000000025.jpg,"height, long neck, spots, they are tall, eating, eating, eating, eating, they're animals, tall","['what', 'do', 'these', 'giraffes', 'have', 'in', 'common']",what do these giraffes have in common,"['what', 'do', 'these', 'giraffes', 'have', 'in', 'common']"
25,Could this photo be from a zoo?,25002,could this photo be from a zoo,True,COCO_train2014_000000000025.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['could', 'this', 'photo', 'be', 'from', 'a', 'zoo']",could this photo be from a zoo,"['could', 'this', 'photo', 'be', 'from', 'a', 'zoo']"
25,Are the animals eating?,25003,are the animals eating,True,COCO_train2014_000000000025.jpg,"yes, yes, yes, yes, yes, yes, yes, yes, yes, yes","['are', 'the', 'animals', 'eating']",are the animals eating,"['are', 'the', 'animals', 'eating']"
25,Where is the giraffe?,25004,where is the giraffe,True,COCO_train2014_000000000025.jpg,"by tree, africa, by tree, near tree, zoo, near tree, beside tree, yes, near tree, outside","['where', 'is', 'the', 'giraffe']",where is the giraffe,"['where', 'is', 'the', 'giraffe']"
25,Is there a zebra?,25005,is there a zebra,True,COCO_train2014_000000000025.jpg,"no, no, no, no, no, no, no, no, no, no","['is', 'there', 'a', 'zebra']",is there a zebra,"['is', 'there', 'a', 'zebra']"
25,What is the giraffe standing behind?,25006,what is the giraffe standing behind,True,COCO_train2014_000000000025.jpg,"tree, tree, fallen tree, tree, tree, log, trees, log, log, tree","['what', 'is', 'the', 'giraffe', 'standing', 'behind']",what is the giraffe standing behind,"['what', 'is', 'the', 'giraffe', 'standing', 'behind']"
25,Is the giraffe eating the tree?,25007,is the giraffe eating the tree,True,COCO_train2014_000000000025.jpg,"yes, yes, no, yes, yes, yes, yes, no, yes, yes","['is', 'the', 'giraffe', 'eating', 'the', 'tree']",is the giraffe eating the tree,"['is', 'the', 'giraffe', 'eating', 'the', 'tree']"
25,Are both giraffes standing?,25008,are both giraffes standing,True,COCO_train2014_000000000025.jpg,"yes, no, no, no, 2, no, yes, no, no, yes","['are', 'both', 'giraffes', 'standing']",are both giraffes standing,"['are', 'both', 'giraffes', 'standing']"
25,Are they at a zoo?,25009,are they at a zoo,True,COCO_train2014_000000000025.jpg,"yes, yes, no, yes, yes, no, no, yes, no, yes","['are', 'they', 'at', 'a', 'zoo']",are they at a zoo,"['are', 'they', 'at', 'a', 'zoo']"
25,What is on the ground next to the giraffe on the right?,25010,what is on the ground next to the giraffe on the right,True,COCO_train2014_000000000025.jpg,"log, dead tree, log, log, tree, log, log, tree, trees, tree trunk","['what', 'is', 'on', 'the', 'ground', 'next', 'to', 'the', 'giraffe', 'on', 'the', 'right']",what is on the ground next to the giraffe on the right,"['what', 'is', 'on', 'the', 'ground', 'next', 'to', 'the', 'giraffe', 'on', 'the', 'right']"
25,Are some of the trees dead?,25011,are some of the trees dead,True,COCO_train2014_000000000025.jpg,"yes, yes, yes, yes, no, yes, yes, yes, yes, yes","['are', 'some', 'of', 'the', 'trees', 'dead']",are some of the trees dead,"['are', 'some', 'of', 'the', 'trees', 'dead']"
25,Are any of the animals eating?,25012,are any of the animals eating,True,COCO_train2014_000000000025.jpg,"yes, yes, yes, yes, yes, yes, yes, 1, yes, yes","['are', 'any', 'of', 'the', 'animals', 'eating']",are any of the animals eating,"['are', 'any', 'of', 'the', 'animals', 'eating']"
